,Artist,Position,Streams,Track Name,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
170,Ninho,171,251605,Sans peine,0.0428,https://api.spotify.com/v1/audio-analysis/4smLSyGtyNJLPb9J1Iuwsb,0.789,157274,0.657,4smLSyGtyNJLPb9J1Iuwsb,0.0,1,0.093,-5.941,1,0.278,137.079,4,https://api.spotify.com/v1/tracks/4smLSyGtyNJLPb9J1Iuwsb,audio_features,spotify:track:4smLSyGtyNJLPb9J1Iuwsb,0.555
171,PNL,172,250864,Tahia,0.309,https://api.spotify.com/v1/audio-analysis/0vfB1HhL36tfV8q6LLKtgo,0.539,186353,0.487,0vfB1HhL36tfV8q6LLKtgo,0.0,1,0.097,-9.653,1,0.202,169.985,4,https://api.spotify.com/v1/tracks/0vfB1HhL36tfV8q6LLKtgo,audio_features,spotify:track:0vfB1HhL36tfV8q6LLKtgo,0.375
172,XXXTENTACION,173,249673,Moonlight,0.556,https://api.spotify.com/v1/audio-analysis/0JP9xo3adEtGSdUEISiszL,0.921,135090,0.537,0JP9xo3adEtGSdUEISiszL,0.00404,9,0.102,-5.723,0,0.0804,128.009,4,https://api.spotify.com/v1/tracks/0JP9xo3adEtGSdUEISiszL,audio_features,spotify:track:0JP9xo3adEtGSdUEISiszL,0.711
173,13 Block,174,248324,Petit cœur,0.571,https://api.spotify.com/v1/audio-analysis/79qwid3uZ7CgGQOvCNBsQQ,0.848,211720,0.562,79qwid3uZ7CgGQOvCNBsQQ,0.0,1,0.111,-8.454,1,0.161,119.918,4,https://api.spotify.com/v1/tracks/79qwid3uZ7CgGQOvCNBsQQ,audio_features,spotify:track:79qwid3uZ7CgGQOvCNBsQQ,0.53
174,Damso,175,247518,Θ. Macarena,0.209,https://api.spotify.com/v1/audio-analysis/2ewjMyCbNv2X1dB2qIDCwD,0.764,206840,0.545,2ewjMyCbNv2X1dB2qIDCwD,2.48e-06,2,0.0494,-8.204,1,0.0709,129.938,4,https://api.spotify.com/v1/tracks/2ewjMyCbNv2X1dB2qIDCwD,audio_features,spotify:track:2ewjMyCbNv2X1dB2qIDCwD,0.223
175,Larry,176,247144,Gaz,0.174,https://api.spotify.com/v1/audio-analysis/0br27hgKNVMLyXKS3qjLOu,0.924,209667,0.748,0br27hgKNVMLyXKS3qjLOu,0.0,2,0.207,-3.645,1,0.188,121.063,4,https://api.spotify.com/v1/tracks/0br27hgKNVMLyXKS3qjLOu,audio_features,spotify:track:0br27hgKNVMLyXKS3qjLOu,0.381
176,Vald,177,246701,Désaccordé,0.448,https://api.spotify.com/v1/audio-analysis/4ueL4j6iOPX23UG5VsvGrm,0.75,214827,0.496,4ueL4j6iOPX23UG5VsvGrm,0.0,1,0.116,-8.424,0,0.352,150.108,4,https://api.spotify.com/v1/tracks/4ueL4j6iOPX23UG5VsvGrm,audio_features,spotify:track:4ueL4j6iOPX23UG5VsvGrm,0.431
177,PNL,178,246208,Shenmue,0.0696,https://api.spotify.com/v1/audio-analysis/5gqh2FMBquUEwDsRUU4pCF,0.909,249598,0.582,5gqh2FMBquUEwDsRUU4pCF,4.78e-05,7,0.0984,-5.357,1,0.0665,126.063,4,https://api.spotify.com/v1/tracks/5gqh2FMBquUEwDsRUU4pCF,audio_features,spotify:track:5gqh2FMBquUEwDsRUU4pCF,0.844
178,Chris Brown,179,246183,No Guidance (feat. Drake),0.123,https://api.spotify.com/v1/audio-analysis/6XHVuErjQ4XNm6nDPVCxVX,0.698,260640,0.454,6XHVuErjQ4XNm6nDPVCxVX,0.0,1,0.155,-6.756,0,0.151,92.932,4,https://api.spotify.com/v1/tracks/6XHVuErjQ4XNm6nDPVCxVX,audio_features,spotify:track:6XHVuErjQ4XNm6nDPVCxVX,0.137
179,Ninho,180,244575,Jeune Lossa,0.67,https://api.spotify.com/v1/audio-analysis/1AaJX4YEeklJyRYisD10JT,0.746,217480,0.566,1AaJX4YEeklJyRYisD10JT,6.65e-05,3,0.121,-9.455,0,0.0669,135.043,4,https://api.spotify.com/v1/tracks/1AaJX4YEeklJyRYisD10JT,audio_features,spotify:track:1AaJX4YEeklJyRYisD10JT,0.485
180,Booba,181,244390,PGP,0.0567,https://api.spotify.com/v1/audio-analysis/38Eq6RgIxOdt4twqyVAPCn,0.803,167707,0.533,38Eq6RgIxOdt4twqyVAPCn,0.0323,7,0.281,-7.331,1,0.0656,141.996,4,https://api.spotify.com/v1/tracks/38Eq6RgIxOdt4twqyVAPCn,audio_features,spotify:track:38Eq6RgIxOdt4twqyVAPCn,0.255
181,Queen,182,243527,Bohemian Rhapsody - Remastered 2011,0.271,https://api.spotify.com/v1/audio-analysis/4u7EnebtmKWzUH433cf5Qv,0.414,354320,0.404,4u7EnebtmKWzUH433cf5Qv,0.0,0,0.3,-9.928,0,0.0499,71.105,4,https://api.spotify.com/v1/tracks/4u7EnebtmKWzUH433cf5Qv,audio_features,spotify:track:4u7EnebtmKWzUH433cf5Qv,0.224
182,Larry,183,242925,Sacoche,0.00885,https://api.spotify.com/v1/audio-analysis/4EWzghMNZsqi3xqdutlL1O,0.912,186747,0.678,4EWzghMNZsqi3xqdutlL1O,5.95e-06,10,0.265,-6.011,0,0.0703,130.028,4,https://api.spotify.com/v1/tracks/4EWzghMNZsqi3xqdutlL1O,audio_features,spotify:track:4EWzghMNZsqi3xqdutlL1O,0.654
183,M. Pokora,184,242539,Les planètes,0.332,https://api.spotify.com/v1/audio-analysis/5MYDvUdIBOCX3a42L85kM3,0.679,232667,0.697,5MYDvUdIBOCX3a42L85kM3,0.0013,6,0.133,-7.272,0,0.0637,90.974,4,https://api.spotify.com/v1/tracks/5MYDvUdIBOCX3a42L85kM3,audio_features,spotify:track:5MYDvUdIBOCX3a42L85kM3,0.528
184,Columbine,185,242043,Adieu bientôt,0.391,https://api.spotify.com/v1/audio-analysis/17y8kqTbNDd9QM3j6yln4g,0.793,211307,0.648,17y8kqTbNDd9QM3j6yln4g,0.0,8,0.101,-7.612,0,0.17,140.034,4,https://api.spotify.com/v1/tracks/17y8kqTbNDd9QM3j6yln4g,audio_features,spotify:track:17y8kqTbNDd9QM3j6yln4g,0.249
185,Kekra,186,241817,Vréalité,0.205,https://api.spotify.com/v1/audio-analysis/5cBeQ8Lw3rvHHzvTzQgCbH,0.696,214267,0.577,5cBeQ8Lw3rvHHzvTzQgCbH,3.29e-05,2,0.0996,-8.874,0,0.247,147.976,4,https://api.spotify.com/v1/tracks/5cBeQ8Lw3rvHHzvTzQgCbH,audio_features,spotify:track:5cBeQ8Lw3rvHHzvTzQgCbH,0.402
186,Panic! At The Disco,187,241563,High Hopes,0.193,https://api.spotify.com/v1/audio-analysis/1rqqCSm0Qe4I9rUvWncaom,0.579,190947,0.904,1rqqCSm0Qe4I9rUvWncaom,0.0,5,0.064,-2.729,1,0.0618,82.014,4,https://api.spotify.com/v1/tracks/1rqqCSm0Qe4I9rUvWncaom,audio_features,spotify:track:1rqqCSm0Qe4I9rUvWncaom,0.681
187,Zola,188,240561,7.65,0.53,https://api.spotify.com/v1/audio-analysis/1gP845NpcAZv4BqANMBGaj,0.924,177213,0.548,1gP845NpcAZv4BqANMBGaj,2.22e-05,7,0.118,-10.426,1,0.339,130.016,4,https://api.spotify.com/v1/tracks/1gP845NpcAZv4BqANMBGaj,audio_features,spotify:track:1gP845NpcAZv4BqANMBGaj,0.638
