,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
302,0.552,0.723,-6.589,0.0703,0.587,0.0,0.121,0.777,146.006
303,0.744,0.828,-3.746,0.0535,0.0716,0.000338,0.254,0.863,132.857
304,0.633,0.861,-3.326,0.0345,0.0186,0.113,0.183,0.478,81.009
305,0.585,0.909,-4.22,0.11,0.377,0.0,0.623,0.714,119.573
306,0.583,0.468,-6.633,0.0379,0.714,0.0,0.364,0.896,96.639
307,0.817,0.355,-13.403,0.0349,0.151,1.22e-05,0.111,0.291,119.994
308,0.817,0.493,-7.407,0.0514,0.376,0.0,0.119,0.337,129.048
309,0.691,0.651,-8.609,0.0397,0.0725,0.00524,0.18,0.305,99.277
310,0.937,0.769,-3.665,0.426,0.123,2.44e-06,0.0978,0.952,117.991
311,0.496,0.55,-7.204,0.289,0.0551,0.0,0.0803,0.53,96.447
312,0.672,0.799,-5.14,0.0295,0.0005,7.28e-05,0.108,0.43,130.008
313,0.543,0.944,-1.652,0.0742,0.0167,4.94e-06,0.223,0.394,125.945
314,0.791,0.564,-8.091,0.0508,0.222,0.000234,0.09,0.675,114.991
315,0.624,0.441,-8.786,0.0615,0.838,0.0,0.119,0.37,134.786
316,0.602,0.883,-3.388,0.066,0.0202,3.53e-05,0.385,0.294,126.116
317,0.648,0.736,-6.054,0.053,0.0791,0.0,0.123,0.477,123.08
318,0.571,0.808,-8.044,0.0369,0.175,0.487,0.176,0.525,125.002
319,0.636,0.715,-6.172,0.0499,0.276,9.68e-06,0.119,0.403,145.021
320,0.807,0.709,-4.632,0.0427,0.0416,0.0,0.209,0.403,96.025
321,0.758,0.675,-7.293,0.157,0.0104,0.0,0.0664,0.731,105.046
322,0.436,0.808,-3.988,0.0446,0.0209,0.0,0.268,0.214,127.939
323,0.755,0.745,-4.088,0.326,0.0587,9.3e-05,0.0347,0.4,187.872
324,0.359,0.782,-3.218,0.0382,0.00283,0.0533,0.103,0.174,164.97
325,0.844,0.754,-6.74,0.232,0.045,0.0,0.344,0.791,104.027
326,0.519,0.711,-5.036,0.042,0.0136,1.84e-05,0.104,0.339,87.102
327,0.749,0.662,-5.751,0.0736,0.419,0.0,0.0675,0.896,146.97
328,0.644,0.483,-7.993,0.031,0.352,0.000181,0.123,0.0782,94.013
329,0.682,0.826,-6.293,0.0454,0.0924,0.0154,0.11,0.325,124.987
330,0.64,0.784,-4.548,0.0342,0.00839,2.74e-05,0.294,0.763,119.982
331,0.669,0.57,-6.306,0.358,0.0961,0.0,0.148,0.529,173.838
332,0.488,0.638,-9.034,0.169,0.00497,0.0,0.102,0.325,169.852
333,0.899,0.378,-9.907,0.0473,0.048,0.0,0.108,0.627,123.972
334,0.685,0.768,-4.876,0.0336,0.0693,0.0,0.122,0.712,100.013
335,0.587,0.828,-7.015,0.169,0.0131,0.0,0.366,0.511,113.749
336,0.394,0.538,-7.154,0.037,0.779,0.0,0.401,0.521,92.003
337,0.838,0.866,-7.108,0.436,0.451,0.0,0.275,0.71,150.077
