,Artist,Position,Streams,Track Name,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
34,MC WM,35,1477040,Senta braba,0.228,https://api.spotify.com/v1/audio-analysis/2SgVsDXzET5EU8VngMh9dv,0.876,149616,0.724,2SgVsDXzET5EU8VngMh9dv,0.000655,7,0.104,-2.915,1,0.0955,100.021,4,https://api.spotify.com/v1/tracks/2SgVsDXzET5EU8VngMh9dv,audio_features,spotify:track:2SgVsDXzET5EU8VngMh9dv,0.789
35,Marília Mendonça,36,1438472,Sem Sal - Ao Vivo,0.112,https://api.spotify.com/v1/audio-analysis/0EZuXcsnjEmGuRYdFdcctX,0.559,162751,0.844,0EZuXcsnjEmGuRYdFdcctX,0.0,0,0.935,-3.685,1,0.124,139.385,4,https://api.spotify.com/v1/tracks/0EZuXcsnjEmGuRYdFdcctX,audio_features,spotify:track:0EZuXcsnjEmGuRYdFdcctX,0.823
36,Gusttavo Lima,37,1415734,Cem Mil - Ao Vivo,0.309,https://api.spotify.com/v1/audio-analysis/5eMmT4Ava5BGThju0AD8vQ,0.901,203740,0.819,5eMmT4Ava5BGThju0AD8vQ,0.0,0,0.701,-1.874,1,0.051,129.935,4,https://api.spotify.com/v1/tracks/5eMmT4Ava5BGThju0AD8vQ,audio_features,spotify:track:5eMmT4Ava5BGThju0AD8vQ,0.924
37,George Henrique & Rodrigo,38,1393461,Bagunça Minha Vida - Ao Vivo Em Goiânia / 2019,0.622,https://api.spotify.com/v1/audio-analysis/33g4LmRrWddOvMLnynSktj,0.871,145198,0.494,33g4LmRrWddOvMLnynSktj,0.0,11,0.0998,-9.911,0,0.0816,117.947,4,https://api.spotify.com/v1/tracks/33g4LmRrWddOvMLnynSktj,audio_features,spotify:track:33g4LmRrWddOvMLnynSktj,0.713
38,IZA,39,1387954,Brisa,0.459,https://api.spotify.com/v1/audio-analysis/5rNNZ6fVYxkhwqUfImVhU1,0.693,151500,0.822,5rNNZ6fVYxkhwqUfImVhU1,0.0,8,0.261,-2.478,1,0.259,159.663,4,https://api.spotify.com/v1/tracks/5rNNZ6fVYxkhwqUfImVhU1,audio_features,spotify:track:5rNNZ6fVYxkhwqUfImVhU1,0.791
39,Guilherme & Benuto,40,1384526,Flor Que Se Cheira,0.637,https://api.spotify.com/v1/audio-analysis/49pu85144Xir6PgWjeyJhG,0.68,161375,0.759,49pu85144Xir6PgWjeyJhG,0.0,2,0.556,-5.254,0,0.144,117.827,4,https://api.spotify.com/v1/tracks/49pu85144Xir6PgWjeyJhG,audio_features,spotify:track:49pu85144Xir6PgWjeyJhG,0.797
40,Saia Rodada,41,1378734,Bebe e Vem Me Procurar,0.415,https://api.spotify.com/v1/audio-analysis/3tu0GkIZwwkmILoD4HemBq,0.571,154291,0.941,3tu0GkIZwwkmILoD4HemBq,6.51e-06,5,0.299,-6.712,0,0.0334,169.95,4,https://api.spotify.com/v1/tracks/3tu0GkIZwwkmILoD4HemBq,audio_features,spotify:track:3tu0GkIZwwkmILoD4HemBq,0.969
41,Matheus & Kauan,42,1325471,Mágica - Ao Vivo,0.629,https://api.spotify.com/v1/audio-analysis/5cN5ZOVcYBl4Lnq50Zeqsx,0.568,161598,0.698,5cN5ZOVcYBl4Lnq50Zeqsx,0.0,1,0.0999,-5.438,1,0.0727,121.663,4,https://api.spotify.com/v1/tracks/5cN5ZOVcYBl4Lnq50Zeqsx,audio_features,spotify:track:5cN5ZOVcYBl4Lnq50Zeqsx,0.534
42,MC G15,43,1325286,Ela Vem,0.619,https://api.spotify.com/v1/audio-analysis/31yFXM26dazFnWI2eoOM5R,0.616,196800,0.634,31yFXM26dazFnWI2eoOM5R,0.0,11,0.0732,-7.389,1,0.546,185.186,5,https://api.spotify.com/v1/tracks/31yFXM26dazFnWI2eoOM5R,audio_features,spotify:track:31yFXM26dazFnWI2eoOM5R,0.586
43,Marília Mendonça,44,1298265,Serenata - Ao Vivo,0.103,https://api.spotify.com/v1/audio-analysis/5fY9bVl1Wj4PIM3wnduWop,0.711,156371,0.711,5fY9bVl1Wj4PIM3wnduWop,0.0,4,0.971,-5.691,1,0.0896,131.813,4,https://api.spotify.com/v1/tracks/5fY9bVl1Wj4PIM3wnduWop,audio_features,spotify:track:5fY9bVl1Wj4PIM3wnduWop,0.743
