,_id,album,artists,country,duration_ms,href,id,name,popularity,album_href,artists_href,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
32,5cdcc0e5e77ddf1a8fa6bbc6,Cae el Sol,Los Bonnitos,argentina,217577,https://api.spotify.com/v1/tracks/70SvNnjvvJnzjxHFbzgDZm,70SvNnjvvJnzjxHFbzgDZm,Cae el Sol,37,https://api.spotify.com/v1/albums/20slPKhZt8m4YD5AJ6S4x8,https://api.spotify.com/v1/artists/7d1kmnhwauydKmuAvjgQrH,0.597,0.793,-3.918,0.0388,0.218,0.0,0.332,0.234,99.988
33,5cdcc0e5e77ddf1a8fa6bbc7,No Es Tan Fácil Ser el Reja,El Reja,argentina,181147,https://api.spotify.com/v1/tracks/5vDusStZ6AIzwuwtCJw1tW,5vDusStZ6AIzwuwtCJw1tW,Los Fiesteros Se Enamoran,0,https://api.spotify.com/v1/albums/59kKCl5NhuxkvkC29OjXfN,https://api.spotify.com/v1/artists/7HSeegdmjLYRJpkOYIaZIW,0.543,0.81,-5.826,0.199,0.034,0.0,0.0432,0.674,205.755
34,5cdcc0e5e77ddf1a8fa6bbc8,Encontrándonos,Los Totora,argentina,206133,https://api.spotify.com/v1/tracks/6VM5z6NAfp9xjwkgi4exCb,6VM5z6NAfp9xjwkgi4exCb,Fuego De Noche Nieve De Día -Vuelve (Bonus Track),39,https://api.spotify.com/v1/albums/2IDB13Ub0dd7NQyGEbmzPx,https://api.spotify.com/v1/artists/6Cv7YpJ01y71mdgm4szmU2,0.437,0.755,-6.728,0.11,0.549,0.0,0.355,0.705,100.382
35,5cdcc0e5e77ddf1a8fa6bbc9,Mata,Marka Akme,argentina,157080,https://api.spotify.com/v1/tracks/6h8rrNrOCdBbz37IhcvApT,6h8rrNrOCdBbz37IhcvApT,Mata,48,https://api.spotify.com/v1/albums/3CGpmpfvOQT271L1avoGI3,https://api.spotify.com/v1/artists/4SgKWjM7cJDCh2aY9H4HZf,0.811,0.676,-8.043,0.0385,0.342,0.0,0.123,0.958,88.009
36,5cdcc0e5e77ddf1a8fa6bbca,Linda,Marka Akme,argentina,178464,https://api.spotify.com/v1/tracks/5L4iwTXzuuWcV0m0sEDrgj,5L4iwTXzuuWcV0m0sEDrgj,Linda,53,https://api.spotify.com/v1/albums/5nzxh5W8SlzljFGpkvY5ey,https://api.spotify.com/v1/artists/4SgKWjM7cJDCh2aY9H4HZf,0.812,0.751,-4.855,0.0473,0.139,0.0,0.357,0.904,87.985
37,5cdcc0e5e77ddf1a8fa6bbcb,Mas Que Amigos,Marka Akme,argentina,232704,https://api.spotify.com/v1/tracks/07FJQy9APD1Gp2AzvjCnTM,07FJQy9APD1Gp2AzvjCnTM,Mas Que Amigos,38,https://api.spotify.com/v1/albums/7aKfKm8AcfgyyBKrB1YsrQ,https://api.spotify.com/v1/artists/4SgKWjM7cJDCh2aY9H4HZf,0.677,0.704,-7.214,0.0496,0.0317,1.37e-06,0.0796,0.852,89.96
38,5cdcc0e5e77ddf1a8fa6bbcc,Comerte a Besos (feat. Cande Buasso),Pijama Party,argentina,170346,https://api.spotify.com/v1/tracks/4UHZMWgKDjJ1zS0t6f6qPv,4UHZMWgKDjJ1zS0t6f6qPv,Comerte a Besos (feat. Cande Buasso),51,https://api.spotify.com/v1/albums/2RFmwlATPy1lvg5WrAwm8A,https://api.spotify.com/v1/artists/1aOhJVEGjCbYJLYPCitGdm,0.808,0.59,-5.699,0.0455,0.0319,0.0,0.169,0.745,110.029
39,5cdcc0e5e77ddf1a8fa6bbce,Su fiel admirador,#TocoParaVos,argentina,166454,https://api.spotify.com/v1/tracks/05pyXo0rLlP39MkXFPJR30,05pyXo0rLlP39MkXFPJR30,Su fiel admirador,32,https://api.spotify.com/v1/albums/69J0T1K11iCUxYQBPLCmbR,https://api.spotify.com/v1/artists/4PdggFNYwGfjRfkdG5OfES,0.73,0.82,-3.642,0.0735,0.014,0.0,0.0741,0.801,107.021
40,5cdcc0e5e77ddf1a8fa6bbcf,Fuego en la Noche,El Super Hobby,argentina,142293,https://api.spotify.com/v1/tracks/22oPMv4Fc8IwjK1n9gYq0n,22oPMv4Fc8IwjK1n9gYq0n,Luna Llena - En Vivo,21,https://api.spotify.com/v1/albums/0R0srt4VrapSD65tIQnTfd,https://api.spotify.com/v1/artists/4nTNHKAVWQyqnvRuBW4N4V,0.547,0.894,-4.558,0.0605,0.715,0.0,0.32,0.866,91.991
41,5cdcc0e5e77ddf1a8fa6bbd0,Yo te propongo,Rombai,argentina,150047,https://api.spotify.com/v1/tracks/73fGrVHnHBauOu84SFXsML,73fGrVHnHBauOu84SFXsML,Yo te propongo,27,https://api.spotify.com/v1/albums/09kg9PbgnKXv0R0TKnnfhN,https://api.spotify.com/v1/artists/5KQX0Ui06LVm6PApyicRFK,0.851,0.867,-5.062,0.0589,0.0514,2.33e-05,0.0361,0.77,112.178
